date,year,ano_pessoal,event_type,event_label
2100-01-01 00:00:00+00:00,2100,7,unknown,Q67369229
2039-03-23 00:00:00+00:00,2039,9,unknown,GPS week number rollover
2025-12-16 00:00:00+00:00,2025,4,unknown,2025 Odintsovo school attack
2025-11-29 00:00:00+00:00,2025,4,unknown,closed concert of Ayumi Hamasaki in Shunghai
2025-11-23 00:00:00+00:00,2025,4,unknown,Q136956856
2025-11-18 00:00:00+00:00,2025,4,unknown,2025 visit by Mohammed bin Salman to the United States
2025-11-17 00:00:00+00:00,2025,4,unknown,2025 Medina bus crash
2025-11-11 00:00:00+00:00,2025,4,unknown,2025 Islamabad suicide bombing
2025-11-08 00:00:00+00:00,2025,4,unknown,One Hope School Fall Festival 2025
2025-11-01 00:00:00+00:00,2025,4,unknown,German auction house cancels sale of Holocaust artefacts after outcry
2025-11-01 00:00:00+00:00,2025,4,unknown,2025 Sumatra floods and landslides
2025-11-01 00:00:00+00:00,2025,4,unknown,2025 Southeast Asia floods and landslides
2025-10-28 00:00:00+00:00,2025,4,unknown,Official presentation of the National Observatory on Minorities (2025)
2025-10-18 00:00:00+00:00,2025,4,unknown,Africa and beyond...
2025-10-16 00:00:00+00:00,2025,4,unknown,2025 Chattogram EPZ fire
2025-10-01 00:00:00+00:00,2025,4,unknown,"Edit-a-thon in Milan, Museo della Scienza, Ottobre 2025"
2025-09-26 00:00:00+00:00,2025,4,unknown,Wiki Loves Bangla 2025 prize-giving ceremony
2025-09-14 00:00:00+00:00,2025,4,unknown,100th anniversary of public bus transportation in Poznań
2025-09-10 00:00:00+00:00,2025,4,unknown,Killing of Ashur Sarnaya
2025-08-20 00:00:00+00:00,2025,4,unknown,Killing of Lisa from Abcoude
2025-08-15 00:00:00+00:00,2025,4,unknown,2025 Elastik powder factory explosion
2025-08-05 00:00:00+00:00,2025,4,unknown,2025 Uttarakhand flash flood
2025-08-03 00:00:00+00:00,2025,4,unknown,2025 Haiti orphanage kidnapping
2025-08-01 00:00:00+00:00,2025,4,unknown,relocation of Kiruna Church
2025-07-28 00:00:00+00:00,2025,4,unknown,Killing of Awdah Hathaleen
2025-07-16 00:00:00+00:00,2025,4,unknown,2025 Kut shopping mall fire
2025-07-09 00:00:00+00:00,2025,4,unknown,Murder of Lal Chand aka Sohag
2025-07-06 00:00:00+00:00,2025,4,unknown,Purnia witchcraft murders
2025-07-01 00:00:00+00:00,2025,4,unknown,2025 Tirah Valley firing
2025-06-02 00:00:00+00:00,2025,4,unknown,Killing of Sana Yousaf
2025-05-31 00:00:00+00:00,2025,4,unknown,Operation Web
2025-05-21 00:00:00+00:00,2025,4,unknown,Florida Gators White House visit (May 2025)
2025-05-01 00:00:00+00:00,2025,4,unknown,2025 Czech Archives Conference
2025-04-28 00:00:00+00:00,2025,4,unknown,2025 Iberian Peninsula blackout
2025-04-14 00:00:00+00:00,2025,4,unknown,"Tour of the Nordau Portal on Passover Chol HaMoed, 14 April 2025"
2025-04-14 00:00:00+00:00,2025,4,unknown,Detention of Mohsen Mahdawi
2025-03-31 00:00:00+00:00,2025,4,unknown,Q133796130
2025-03-27 00:00:00+00:00,2025,4,unknown,2025 Red Sea tourist submarine disaster
2025-03-15 00:00:00+00:00,2025,4,unknown,Dao Khanong Expressway Bridge collapse
2025-03-04 00:00:00+00:00,2025,4,unknown,2025 State of the Union Address
2025-03-01 00:00:00+00:00,2025,4,unknown,Texas army base poised to become mass deportation hub under Trump plan
2025-02-25 00:00:00+00:00,2025,4,unknown,Q132775324
2025-02-22 00:00:00+00:00,2025,4,unknown,2025 Mulhouse stabbing attack
2025-02-16 00:00:00+00:00,2025,4,unknown,Suicide of Prakriti Lamsal
2025-02-14 00:00:00+00:00,2025,4,unknown,Elef Milim – Gaza envelope
2025-02-14 00:00:00+00:00,2025,4,unknown,Elef Milim – Ashdod
2025-01-25 00:00:00+00:00,2025,4,unknown,murder of Mattia Ahmet Minguzzi
2025-01-24 00:00:00+00:00,2025,4,unknown,2025 dismissal of United States inspectors general
2025-01-18 00:00:00+00:00,2025,4,unknown,2025 assassination of Sharia judges in Iran
